gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Urban,Bachelor,9.87,1,6,3272.0,More than 1,B,Platinum,127152
Male,Rural,Bachelor,6.8,1,6,0.0,More than 1,B,Platinum,47268
Female,Urban,Bachelor,12.17,1,6,4095.0,More than 1,A,Platinum,102996
Male,Urban,Bachelor,6.95,1,7,4006.0,1,C,Gold,72888
Male,Urban,Bachelor,,0,4,7584.0,More than 1,C,Platinum,47292
Female,,Bachelor,9.46,0,5,,More than 1,B,Silver,67428
Male,Urban,Bachelor,9.47,0,6,4140.0,More than 1,B,Platinum,101748
Female,Rural,Bachelor,62.18,0,6,4576.0,1,B,Gold,37860
Female,Rural,Bachelor,8.27,1,6,3013.0,More than 1,A,Platinum,463320
Male,Urban,High School,3.67,1,1,5105.0,More than 1,C,Gold,65328
Male,Rural,Others,5.38,1,6,,More than 1,B,Silver,65172
Male,Urban,High School,6.36,1,1,12832.0,More than 1,B,Silver,70884
Female,Rural,High School,6.59,0,2,,1,A,Silver,301968
Male,Rural,High School,8.37,1,7,0.0,More than 1,B,Platinum,50592
Male,Rural,High School,8.6,1,8,0.0,More than 1,B,Silver,86904
Male,Urban,Bachelor,97.26,1,7,7801.0,More than 1,A,Gold,56256
Male,Urban,Bachelor,9.66,1,4,2566.0,1,A,Platinum,32868
Female,Rural,Bachelor,16.94,0,2,5696.0,1,B,Platinum,59652
Male,Urban,High School,7.87,0,1,5961.0,1,A,Platinum,68604
Male,Rural,Bachelor,2.42,0,8,0.0,More than 1,B,Platinum,108816
Female,Urban,High School,0.18,1,2,5482.0,More than 1,A,Platinum,66000
Female,Rural,Others,35.13,1,5,2775.0,More than 1,B,Silver,63120
Female,Rural,Bachelor,8.48,1,1,5491.0,1,A,Silver,33996
Female,Urban,High School,81.48,1,4,6521.0,More than 1,B,Silver,97860
Male,Rural,High School,8.57,1,7,6704.0,1,B,Platinum,59088
Male,Urban,Bachelor,63.68,0,6,4550.0,More than 1,A,Gold,492024
Male,Rural,Bachelor,50.29,0,2,,More than 1,B,Gold,64404
Female,Rural,High School,19.44,1,3,0.0,1,A,Platinum,62808
Male,Urban,High School,26.87,0,4,5587.0,More than 1,A,Platinum,65448
Male,Urban,Bachelor,4.72,1,8,8955.0,More than 1,C,Silver,187212
Male,Urban,High School,8.06,1,6,4317.0,More than 1,A,Platinum,64212
Male,Urban,High School,3.36,1,4,0.0,1,C,Silver,55464
Female,Urban,Bachelor,8.69,1,5,0.0,More than 1,B,Silver,434340
Female,Urban,High School,8.96,1,2,5930.0,1,A,Platinum,49416
Male,Rural,High School,9.92,1,6,,1,A,Platinum,70848
Female,Rural,Bachelor,9.98,0,0,0.0,1,A,Platinum,61452
Female,Urban,Bachelor,2.26,0,3,4416.0,1,A,Silver,33624
Male,Rural,High School,93.86,1,5,4274.0,More than 1,A,Platinum,53256
Female,Urban,High School,,1,6,5403.0,More than 1,,Platinum,60768
Male,Rural,Bachelor,45.14,0,7,5741.0,1,A,Gold,34308
Female,Urban,Bachelor,9.61,1,7,5738.0,More than 1,A,Platinum,64812
Female,Rural,Bachelor,7.57,0,2,0.0,1,A,Silver,31656
Female,Urban,Bachelor,7.71,0,0,9876.0,More than 1,A,Platinum,62580
Female,Urban,High School,9.33,1,6,2857.0,More than 1,A,Gold,270564
Male,Rural,Bachelor,7.21,1,1,2196.0,1,A,Platinum,30060
Male,Urban,Bachelor,5.83,1,2,,1,A,Platinum,47724
Male,,High School,88.6,1,1,7107.0,1,A,Platinum,48468
Female,Rural,Others,6.17,1,6,2983.0,More than 1,B,Platinum,259764
Male,Urban,Bachelor,7.95,1,7,3806.0,More than 1,A,Gold,155952
Male,Rural,Bachelor,6.22,0,6,0.0,1,A,Silver,63144
Male,Urban,High School,5.99,1,7,3675.0,1,C,Gold,69564
Male,Urban,Bachelor,5.2,1,6,3723.0,More than 1,A,Platinum,62664
Female,Urban,Others,5.14,1,4,5575.0,More than 1,A,Silver,50520
Male,Urban,Bachelor,3.73,0,2,4742.0,More than 1,A,Platinum,60000
Male,Urban,High School,7.63,1,0,4133.0,More than 1,B,Platinum,62652
Male,Urban,Bachelor,2.01,1,5,3935.0,1,A,Platinum,60252
Male,Rural,High School,,1,7,4267.0,1,B,Platinum,70224
Male,Urban,Bachelor,9.65,1,4,4773.0,More than 1,B,Platinum,73608
Male,Rural,Bachelor,3.88,0,6,2371.0,More than 1,B,Platinum,106440
Male,Urban,Bachelor,4.79,1,6,7627.0,More than 1,B,Silver,62352
Male,Urban,High School,6.72,0,8,3825.0,1,A,Platinum,36132
Female,Urban,High School,3.86,1,4,3252.0,More than 1,B,Silver,109512
Female,Urban,High School,8.39,0,6,8098.0,1,A,Platinum,50856
Female,Rural,Bachelor,66.02,1,6,0.0,More than 1,A,Platinum,93888
Female,Rural,Bachelor,8.18,0,6,0.0,1,B,Platinum,32580
Male,Rural,High School,,1,7,0.0,1,B,Platinum,58440
Female,Urban,High School,2.4,0,6,0.0,More than 1,B,Gold,64680
Female,Rural,High School,7.58,1,3,5965.0,1,A,Silver,32304
Female,Urban,High School,,1,1,4027.0,1,A,Gold,35148
Male,Rural,High School,9.6,0,7,0.0,More than 1,B,Platinum,61464
Female,Urban,High School,2.29,0,4,4077.0,More than 1,A,Gold,76512
Male,Urban,Bachelor,,1,3,5163.0,More than 1,A,Platinum,340824
Female,Rural,High School,6.62,1,2,2740.0,1,,Silver,41088
Male,Rural,High School,9.83,0,5,0.0,More than 1,A,Silver,43332
Male,Urban,High School,7.4,0,1,8522.0,1,C,Silver,73632
Male,,Bachelor,8.14,0,8,2074.0,1,,Platinum,32052
Female,Urban,High School,8.26,1,2,3311.0,1,A,Platinum,29580
Male,Urban,Bachelor,5.19,1,5,6596.0,1,B,Platinum,32352
Male,Urban,High School,4.3,1,4,,More than 1,A,Platinum,123984
Male,Urban,High School,2.53,1,8,5874.0,More than 1,A,Silver,107712
Female,Urban,Bachelor,74.81,1,4,5322.0,1,A,Silver,29556
Female,,High School,9.77,0,6,4990.0,1,A,Platinum,50892
Female,Rural,Bachelor,92.21,0,7,0.0,1,A,Silver,33036
Female,Rural,Bachelor,12.54,1,8,2752.0,More than 1,A,Silver,109140
Female,Rural,High School,70.09,1,5,4356.0,1,A,Silver,36024
Male,Urban,Bachelor,4.81,1,6,6770.0,More than 1,A,Silver,66744
Female,Urban,High School,3.59,1,4,5577.0,More than 1,B,Platinum,61464
Male,Urban,High School,9.32,1,6,6301.0,More than 1,A,Platinum,65484
Female,Urban,High School,6.12,1,7,4574.0,More than 1,A,Platinum,68880
Female,Rural,Bachelor,5.73,1,5,0.0,1,B,Silver,37140
Male,Urban,High School,8.6,0,4,6016.0,1,A,Gold,51228
Female,Urban,Bachelor,5.71,1,8,0.0,1,B,Silver,34872
Male,Urban,High School,49.25,1,2,14335.0,1,A,Platinum,35268
Female,,Bachelor,6.93,0,6,0.0,1,,Silver,59172
Male,Urban,Bachelor,3.63,1,5,4195.0,More than 1,B,Platinum,62520
Male,Urban,High School,3.6,0,5,7552.0,More than 1,B,Platinum,67644
Female,Urban,Bachelor,5.17,1,8,3872.0,1,A,Silver,37212
Female,,Bachelor,,1,7,4294.0,More than 1,A,Platinum,61200
Male,Rural,Others,6.51,1,4,0.0,1,B,Platinum,34200
Female,Rural,Bachelor,9.32,1,0,,1,A,Gold,65640
Female,Rural,High School,5.52,1,8,7900.0,More than 1,A,Gold,423324
Male,Urban,High School,5.13,1,3,4258.0,More than 1,A,Platinum,69780
Male,Rural,High School,9.73,0,0,4318.0,1,B,Gold,60048
Female,Urban,Bachelor,8.74,1,5,3825.0,More than 1,A,Gold,69828
Female,Rural,Bachelor,4.45,1,4,2545.0,More than 1,B,Gold,56292
Male,Urban,High School,0.82,1,8,6149.0,1,A,Platinum,231528
Female,Urban,High School,3.92,0,0,6472.0,More than 1,A,Silver,536064
Female,Urban,High School,7.64,1,2,4006.0,More than 1,A,Gold,62808
Female,,High School,6.38,1,1,0.0,1,A,Platinum,55260
Female,Urban,Bachelor,4.37,1,4,4795.0,More than 1,B,Platinum,60192
Male,Urban,Bachelor,4.22,1,6,5460.0,1,B,Silver,58500
Male,Urban,Others,9.81,1,6,5556.0,1,C,Platinum,32940
Male,Urban,Bachelor,4.28,1,6,11338.0,More than 1,,Platinum,74808
Female,Urban,High School,90.08,0,6,6288.0,1,B,Platinum,39924
Male,Rural,Bachelor,7.7,1,5,0.0,1,B,Platinum,46332
Male,Rural,High School,7.71,1,8,0.0,1,B,Silver,33768
Male,Urban,Bachelor,2.81,0,8,9759.0,More than 1,B,Platinum,106272
Male,Urban,High School,5.81,0,8,6157.0,More than 1,A,Platinum,91092
Male,Urban,High School,3.14,0,2,4114.0,More than 1,A,Platinum,71556
Female,Urban,Bachelor,98.81,1,6,3331.0,More than 1,A,Gold,64692
Male,Urban,Bachelor,,0,8,9700.0,More than 1,A,Silver,212616
Male,Rural,High School,5.84,0,7,2551.0,More than 1,C,Gold,441396
Male,Rural,High School,9.65,1,8,3100.0,More than 1,A,Gold,92112
Male,Urban,High School,8.82,1,6,6343.0,1,A,Platinum,52392
Male,Rural,High School,92.86,0,4,0.0,1,B,Gold,31032
Female,Urban,Bachelor,2.86,1,2,5777.0,More than 1,B,Silver,111552
Male,Urban,Bachelor,9.96,1,8,4112.0,1,B,Platinum,60852
Male,Rural,Bachelor,8.43,1,2,0.0,1,B,Silver,60288
Male,Urban,High School,7.83,1,4,0.0,More than 1,A,Platinum,62832
Male,Rural,High School,5.41,1,4,2351.0,More than 1,B,Silver,70872
Male,Urban,Bachelor,43.91,1,6,5781.0,More than 1,B,Platinum,57120
Female,Urban,Others,5.72,0,7,5956.0,More than 1,A,Gold,51888
Female,Rural,High School,9.48,1,5,0.0,More than 1,B,Platinum,67620
Male,Urban,Bachelor,2.47,0,4,3423.0,More than 1,B,Silver,63876
Male,Urban,High School,2.74,0,4,,More than 1,A,Platinum,106440
Female,Rural,Bachelor,6.08,0,0,2338.0,More than 1,,Platinum,53352
Male,Urban,Bachelor,6.28,0,6,7940.0,More than 1,A,Silver,96612
Male,Urban,High School,7.96,0,4,5253.0,More than 1,A,Gold,98904
Male,Urban,Bachelor,8.88,0,3,3902.0,1,A,Silver,34560
Female,Rural,High School,50.61,1,7,0.0,1,C,Platinum,35604
Male,,High School,4.01,0,0,2126.0,More than 1,B,Platinum,364824
Male,Rural,High School,6.23,1,3,0.0,1,A,Platinum,54924
Female,Urban,High School,9.06,0,1,4081.0,More than 1,B,Silver,66840
Male,Urban,High School,6.87,1,6,0.0,More than 1,A,Gold,113364
Female,Rural,Bachelor,98.93,1,6,0.0,1,B,Platinum,31884
Female,Rural,Bachelor,8.62,1,1,4915.0,1,,Platinum,31368
Male,Urban,Bachelor,7.84,1,5,0.0,More than 1,C,Gold,33552
Female,Rural,Bachelor,40.13,0,7,0.0,More than 1,B,Platinum,65076
Female,Urban,Bachelor,,1,1,,More than 1,B,Gold,110952
Male,Rural,High School,96.01,1,4,3622.0,More than 1,A,Platinum,66540
Male,,High School,9.94,1,1,3770.0,More than 1,,Gold,51480
Female,Urban,Bachelor,8.52,1,3,5524.0,More than 1,A,Platinum,454620
Female,Urban,Bachelor,1.17,1,5,4526.0,More than 1,A,Platinum,177456
Female,,High School,,1,5,15407.0,More than 1,A,Platinum,145056
Female,Urban,Others,2.6,0,7,8160.0,More than 1,B,Silver,72876
Female,Urban,Bachelor,9.92,0,6,2270.0,More than 1,A,Platinum,66180
Male,Rural,High School,6.98,0,4,,1,A,Silver,32400
Male,Rural,High School,6.18,0,0,5804.0,1,A,Silver,35844
Male,Rural,Bachelor,6.3,1,7,0.0,More than 1,A,Platinum,103992
Female,Rural,Bachelor,7.97,1,0,3289.0,More than 1,B,Platinum,437268
Male,Urban,Bachelor,1.87,0,7,7491.0,More than 1,B,Platinum,67848
Male,Rural,Others,,1,1,2415.0,1,B,Silver,66504
Male,Rural,Bachelor,21.05,0,5,2704.0,More than 1,B,Platinum,114480
Female,Urban,High School,3.8,0,4,7772.0,More than 1,B,Silver,58644
Male,Urban,Bachelor,1.44,1,1,9553.0,More than 1,A,Platinum,208032
Male,Urban,High School,4.38,1,6,5766.0,More than 1,A,Platinum,66228
Female,Rural,Bachelor,3.94,0,6,2679.0,More than 1,B,Gold,70524
Female,Rural,High School,64.79,0,8,0.0,1,C,Gold,50532
Female,Urban,Others,79.44,1,2,8131.0,1,A,Platinum,64932
Male,Urban,High School,6.73,1,0,4662.0,1,A,Silver,105588
Male,Rural,Bachelor,9.04,1,4,0.0,1,A,Silver,38676
Male,Urban,High School,9.44,0,8,6469.0,More than 1,A,Gold,331428
Male,Rural,High School,5.16,0,6,2900.0,More than 1,A,Platinum,97932
Male,Urban,High School,30.04,1,6,15050.0,More than 1,A,Platinum,68124
Male,Urban,High School,3.1,1,5,3197.0,More than 1,A,Platinum,218172
Female,Urban,High School,6.93,1,0,4002.0,More than 1,A,Gold,63876
Female,Rural,Bachelor,5.63,0,5,2667.0,1,A,Platinum,85704
Female,Urban,Bachelor,9.82,0,3,6097.0,1,A,Gold,29664
Male,Urban,High School,8.96,1,3,3220.0,More than 1,B,Platinum,57432
Female,Urban,High School,2.7,0,7,3702.0,More than 1,B,Gold,68508
Male,Urban,Bachelor,5.46,1,7,4261.0,More than 1,A,Gold,109644
Male,Rural,Bachelor,7.59,0,7,0.0,More than 1,B,Silver,74520
Male,Rural,High School,3.89,0,1,2994.0,More than 1,A,Gold,35472
Female,Rural,Bachelor,8.88,0,0,0.0,More than 1,B,Platinum,91224
Male,Urban,Bachelor,2.68,1,6,11122.0,More than 1,A,Platinum,123804
Male,Urban,High School,8.89,0,6,7745.0,More than 1,A,Platinum,96576
Male,Urban,High School,2.57,1,6,3886.0,More than 1,A,Platinum,115656
Male,Rural,Bachelor,9.31,0,7,6247.0,More than 1,,Silver,66996
Male,Urban,Bachelor,9.67,0,2,9666.0,More than 1,A,Silver,117732
Male,Rural,Bachelor,6.66,0,6,2040.0,More than 1,A,Platinum,431580
Male,Urban,High School,3.03,0,6,8165.0,More than 1,,Platinum,144552
Female,Urban,High School,9.28,1,7,3862.0,1,,Platinum,56292
Female,Urban,High School,30.65,0,6,7183.0,1,A,Gold,56292
Female,Urban,High School,5.2,0,8,8964.0,More than 1,A,Platinum,166428
Female,Urban,High School,9.32,1,4,6223.0,More than 1,A,Platinum,92148
Male,Urban,Bachelor,8.29,1,6,3426.0,More than 1,B,Platinum,68436
Female,,Bachelor,4.03,0,5,5178.0,More than 1,A,Silver,172500
Male,Rural,High School,6.29,1,7,2491.0,1,C,Platinum,49608
Female,Rural,Bachelor,8.73,0,8,3798.0,More than 1,A,Platinum,73188
Male,Urban,Bachelor,9.69,1,2,5190.0,More than 1,A,Silver,117588
Female,Urban,High School,6.9,0,2,4833.0,More than 1,A,Gold,132168
Female,Urban,High School,3.88,1,0,11792.0,1,A,Platinum,68472
Male,Urban,High School,6.21,1,2,2682.0,More than 1,A,Gold,119280
Male,Urban,High School,8.54,1,2,5222.0,More than 1,B,Silver,95928
Female,Rural,High School,55.46,1,6,0.0,1,B,Silver,36324
Female,Urban,High School,3.3,0,8,5912.0,1,,Gold,33072
Female,Urban,High School,2.67,1,0,3959.0,More than 1,B,Platinum,110556
Female,Urban,Bachelor,3.8,0,8,3970.0,1,B,Platinum,32244
Male,Urban,High School,3.83,0,4,5450.0,More than 1,C,Silver,73044
Female,Urban,High School,62.34,0,3,8819.0,More than 1,C,Silver,181140
Male,Urban,Bachelor,7.09,1,7,4382.0,1,B,Gold,393660
Female,Urban,High School,6.23,0,1,3834.0,More than 1,C,Platinum,63360
Female,Urban,High School,,1,5,,More than 1,B,Gold,63504
Male,Urban,Bachelor,8.68,1,0,0.0,1,A,Gold,47484
Male,Rural,High School,60.11,0,6,0.0,1,B,Platinum,64896
Female,Urban,Bachelor,5.97,1,6,8875.0,More than 1,A,Platinum,54168
Male,Rural,Bachelor,9.07,1,6,0.0,More than 1,B,Silver,69660
Male,Urban,High School,6.1,1,3,4196.0,1,A,Platinum,33780
Female,Urban,Bachelor,,0,7,7447.0,More than 1,A,Platinum,100440
Male,Urban,Bachelor,,1,5,15523.0,More than 1,B,Gold,66408
Male,Rural,High School,6.32,1,7,0.0,1,A,Platinum,62652
Male,Urban,Bachelor,9.44,1,7,5200.0,More than 1,B,Gold,62040
Male,,High School,7.17,1,4,7010.0,More than 1,B,Silver,174588
Male,Urban,Bachelor,6.0,1,5,6749.0,1,A,Gold,70224
Female,Urban,Bachelor,2.44,1,2,3561.0,1,A,Platinum,47172
Female,Rural,Others,27.98,0,0,,More than 1,A,Platinum,64920
Male,Urban,High School,98.51,0,7,4568.0,More than 1,C,Gold,70764
Female,Urban,Bachelor,5.67,0,7,4257.0,More than 1,A,Gold,68832
Male,Urban,Bachelor,,1,6,0.0,1,B,Gold,37824
Female,Urban,High School,3.05,0,6,5901.0,More than 1,A,Platinum,97200
Male,Rural,High School,92.48,0,3,3186.0,1,A,Silver,38160
Male,Urban,Bachelor,2.78,0,4,3736.0,1,A,Platinum,33228
Male,Urban,High School,7.01,0,3,2185.0,1,A,Platinum,50796
Female,Urban,High School,0.88,0,7,5080.0,More than 1,A,Platinum,133308
Female,Rural,Bachelor,6.98,0,5,2729.0,More than 1,A,Platinum,109812
Female,Urban,Bachelor,5.32,1,2,0.0,1,B,Platinum,37236
Female,Rural,High School,6.3,0,0,0.0,1,A,Platinum,40092
Female,Urban,Bachelor,2.24,0,7,9070.0,More than 1,A,Platinum,106128
Female,Rural,Bachelor,4.64,0,7,2041.0,More than 1,B,Silver,63732
Female,Urban,High School,1.43,1,3,,More than 1,A,Platinum,67968
Female,Urban,High School,6.45,1,6,5657.0,1,A,Platinum,35844
Male,Rural,High School,8.92,0,7,0.0,1,A,Gold,34512
Male,Rural,Bachelor,42.52,1,6,0.0,1,A,Silver,60480
Female,,High School,3.31,0,8,7795.0,More than 1,B,Gold,68880
Female,Urban,Bachelor,1.55,1,3,5437.0,1,A,Silver,50868
Male,Urban,High School,7.69,0,7,3709.0,More than 1,,Platinum,61020
Male,Urban,High School,80.66,1,1,3310.0,More than 1,A,Platinum,63648
Female,Rural,High School,9.8,1,4,0.0,1,A,Silver,33504
Female,Urban,High School,3.1,1,7,0.0,More than 1,B,Platinum,67944
Male,Rural,Bachelor,9.54,0,5,0.0,1,B,Platinum,32040
Female,Urban,Bachelor,6.27,1,3,,1,A,Gold,59520
Male,Urban,High School,5.69,1,3,9368.0,More than 1,A,Platinum,191100
Female,Urban,Bachelor,4.63,0,8,2035.0,More than 1,C,Silver,63444
Male,Urban,High School,52.19,0,8,3811.0,More than 1,B,Platinum,68508
Female,Urban,High School,5.55,0,6,8260.0,1,A,Platinum,33672
Female,Rural,Bachelor,5.81,1,4,0.0,1,A,Platinum,32700
Female,Rural,Bachelor,6.71,0,6,0.0,More than 1,A,Silver,94980
Male,Urban,High School,7.69,0,3,4235.0,More than 1,A,Platinum,70392
Female,Rural,Bachelor,7.57,0,2,,1,C,Silver,37788
Female,Rural,Bachelor,6.18,0,4,2272.0,More than 1,B,Platinum,71520
Male,Rural,Bachelor,2.78,0,1,0.0,More than 1,B,Platinum,58380
Male,Urban,High School,8.08,1,7,4340.0,1,A,Gold,63804
Male,Urban,Bachelor,8.78,1,1,3187.0,1,C,Silver,55236
Female,Urban,High School,3.51,1,6,5722.0,1,B,Platinum,34548
Male,Rural,High School,5.04,0,5,3380.0,More than 1,B,Platinum,494964
Male,Rural,Others,6.56,1,3,0.0,1,A,Platinum,31008
Male,Rural,Bachelor,8.53,1,1,0.0,1,C,Platinum,33372
Male,Urban,High School,74.56,0,2,5698.0,1,A,Gold,39336
Male,Urban,Bachelor,6.32,1,1,2827.0,1,A,Silver,33132
Female,Urban,Bachelor,5.27,1,4,10733.0,More than 1,B,Platinum,187668
Male,Urban,Bachelor,58.59,1,4,3338.0,More than 1,A,Gold,74244
Male,Rural,Bachelor,7.32,1,5,,1,C,Silver,32028
Female,Rural,High School,9.33,1,0,0.0,More than 1,B,Platinum,57492
Female,Urban,High School,4.64,0,2,0.0,1,B,Platinum,33588
Male,Urban,Bachelor,4.04,1,5,3990.0,1,C,Platinum,32520
Male,Rural,High School,7.72,1,2,3800.0,1,B,Platinum,29532
Male,Urban,Bachelor,90.6,1,6,5727.0,1,C,Gold,32928
Female,Rural,Bachelor,9.59,1,0,2294.0,1,A,Platinum,47280
Male,Urban,Bachelor,5.88,0,2,3661.0,More than 1,A,Silver,104652
Female,Urban,Bachelor,8.12,0,7,3897.0,More than 1,B,Silver,519564
Male,Urban,High School,9.66,1,1,6066.0,More than 1,A,Platinum,44460
